Scenario,ISO,Year,Technology,wacc_projection
Below2,CAN,2030,Wind_Onshore,0.0699330007677992
Below2,CAN,2035,Wind_Onshore,0.068685708053494
Below2,CAN,2040,Wind_Onshore,0.0686425059593518
Below2,CAN,2045,Wind_Onshore,0.0693164506069614
Below2,CAN,2050,Wind_Onshore,0.0693948714206426
Below2,CHE,2025,Wind_Onshore,0.0618328010979393
Below2,CHE,2030,Wind_Onshore,0.0611085065750379
Below2,CHE,2035,Wind_Onshore,0.0611835504226332
Below2,CHE,2040,Wind_Onshore,0.0619177848981053
Below2,CHE,2045,Wind_Onshore,0.062841688417061
Below2,CHE,2050,Wind_Onshore,0.0630821539551187
Below2,CHL,2025,Wind_Onshore,0.0736249339369308
Below2,CHL,2030,Wind_Onshore,0.0682034981813924
Below2,CHL,2035,Wind_Onshore,0.0668189578800007
Below2,CHL,2040,Wind_Onshore,0.068038721449957
Below2,CHL,2045,Wind_Onshore,0.0697707496693754
Below2,CHL,2050,Wind_Onshore,0.0696454786905284
Below2,CHN,2025,Wind_Onshore,0.0698592943791748
Below2,CHN,2030,Wind_Onshore,0.0687192319672044
Below2,CHN,2035,Wind_Onshore,0.0681602743116985
Below2,CHN,2040,Wind_Onshore,0.0681827187251508
Below2,CHN,2045,Wind_Onshore,0.0681324050703261
Below2,CHN,2050,Wind_Onshore,0.0684697254380303
Below2,CZE,2025,Wind_Onshore,0.0666306247262857
Below2,CZE,2030,Wind_Onshore,0.0679991971297568
Below2,CZE,2035,Wind_Onshore,0.0667746983248041
Below2,CZE,2040,Wind_Onshore,0.0670571808201146
Below2,CZE,2045,Wind_Onshore,0.067896880911757
Below2,CZE,2050,Wind_Onshore,0.067483563344822
Below2,DEU,2025,Wind_Onshore,0.0662160860812661
Below2,DEU,2030,Wind_Onshore,0.0656530334449647
Below2,DEU,2035,Wind_Onshore,0.0654918907940997
Below2,DEU,2040,Wind_Onshore,0.065233282009026
Below2,DEU,2045,Wind_Onshore,0.0653740962162121
Below2,DEU,2050,Wind_Onshore,0.0656761853801511
Below2,DNK,2025,Wind_Onshore,0.0691267576914588
Below2,DNK,2030,Wind_Onshore,0.0701535916477388
Below2,DNK,2035,Wind_Onshore,0.0704211881686201
Below2,DNK,2040,Wind_Onshore,0.0704876081045876
Below2,DNK,2045,Wind_Onshore,0.0706915536854331
Below2,DNK,2050,Wind_Onshore,0.0705849359868578
Below2,EGY,2025,Wind_Onshore,0.1242699429535662
Below2,EGY,2030,Wind_Onshore,0.0665392603681209
Below2,EGY,2035,Wind_Onshore,0.0644370133025673
Below2,EGY,2040,Wind_Onshore,0.0666151373190297
Below2,EGY,2045,Wind_Onshore,0.0684303128999186
Below2,EGY,2050,Wind_Onshore,0.0694294834857402
Below2,ESP,2025,Wind_Onshore,0.0800125570827895
Below2,ESP,2030,Wind_Onshore,0.0788366391648732
Below2,ESP,2035,Wind_Onshore,0.0794964897007349
Below2,ESP,2040,Wind_Onshore,0.0798774221706364
Below2,ESP,2045,Wind_Onshore,0.0802168727842047
Below2,ESP,2050,Wind_Onshore,0.0799993261528772
Below2,EST,2025,Wind_Onshore,0.0704911414247818
Below2,EST,2030,Wind_Onshore,0.0661266311759574
Below2,EST,2035,Wind_Onshore,0.066867928549026
Below2,EST,2040,Wind_Onshore,0.0682727187387484
Below2,EST,2045,Wind_Onshore,0.0688430357732794
Below2,EST,2050,Wind_Onshore,0.0690162124963323
Below2,FIN,2025,Wind_Onshore,0.0725653945625799
Below2,FIN,2030,Wind_Onshore,0.0716669840282882
Below2,FIN,2035,Wind_Onshore,0.0712650350391674
Below2,FIN,2040,Wind_Onshore,0.0713374556929943
Below2,FIN,2045,Wind_Onshore,0.0719970088811102
Below2,FIN,2050,Wind_Onshore,0.0721818895528012
Below2,FRA,2025,Wind_Onshore,0.0722308953166322
Below2,FRA,2030,Wind_Onshore,0.0717158147756343
Below2,FRA,2035,Wind_Onshore,0.0721426044730503
Below2,FRA,2040,Wind_Onshore,0.0725293472738096
Below2,FRA,2045,Wind_Onshore,0.0727452315472537
Below2,FRA,2050,Wind_Onshore,0.0728921540277256
Below2,GBR,2025,Wind_Onshore,0.0695507902466867
Below2,GBR,2030,Wind_Onshore,0.0671647157908281
Below2,GBR,2035,Wind_Onshore,0.0666592218186233
Below2,GBR,2040,Wind_Onshore,0.0659301348435139
Below2,GBR,2045,Wind_Onshore,0.0658621731858985
Below2,GBR,2050,Wind_Onshore,0.0655733041279072
Below2,GRC,2025,Wind_Onshore,0.0750849517315209
Below2,GRC,2030,Wind_Onshore,0.0776023923791415
Below2,GRC,2035,Wind_Onshore,0.078999704325255
Below2,GRC,2040,Wind_Onshore,0.0793297434862074
Below2,GRC,2045,Wind_Onshore,0.0799089968126309
Below2,GRC,2050,Wind_Onshore,0.0797604812714289
