country,year,technology,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore
Kingdom of Belgium,2012,wind onshore,0.029,BEL,-0.12699423489590217,0.7070518887021938,-0.08679215419965738,-0.37930423898684695,0,1,0
Kingdom of Belgium,2012,wind offshore,0.0675,BEL,-0.12699423489590217,0.7070518887021938,-0.08679215419965738,-0.37930423898684695,0,0,1
Kingdom of Belgium,2012,solar pv,0.038,BEL,-0.12699423489590217,0.7070518887021938,-0.08679215419965738,-0.37930423898684695,1,0,0
Plurinational State of Bolivia,2023,solar pv,0.212025,BOL,-0.4888738391120531,-1.1582084795923921,-0.8942245547904081,-0.3760701240728783,1,0,0
Republic of Zambia,2023,solar pv,0.37546,ZMB,0.5256060497432731,-1.2541445956744524,-0.3793478956266292,-0.35195473897196117,1,0,0
Federative Republic of Brazil,2023,solar pv,0.102636,BRA,0.200482158870518,-0.852871340867528,-0.014412755740327098,0.18956396953746232,1,0,0
Federative Republic of Brazil,2013,solar pv,0.048,BRA,0.580326748012685,-0.8473696712362565,-0.17096671388939702,0.1535537853701115,1,0,0
Federative Republic of Brazil,2014,solar pv,0.057,BRA,0.6259984472708636,-0.8488070996191899,-0.2274405161440843,0.15812338000599543,1,0,0
Federative Republic of Brazil,2015,solar pv,0.054,BRA,0.5885509031004362,-0.8691636740751487,0.09120755164106596,0.16264626992133363,1,0,0
Federative Republic of Brazil,2019,solar pv,0.1225,BRA,0.14245087216344518,-0.8775036016651667,0.6984796404430516,0.17908357585264725,1,0,0
Federative Republic of Brazil,2021,solar pv,0.13,BRA,1.3202021267100723,-0.8760969297133703,0.916868837769722,0.18504099430630996,1,0,0
Federative Republic of Brazil,2022,solar pv,0.1125,BRA,0.7225854265098722,-0.8643098288324331,0.2150567445603643,0.187191296930909,1,0,0
Federative Republic of Brazil,2022,wind offshore,0.11,BRA,0.7225854265098722,-0.8643098288324331,0.2150567445603643,0.187191296930909,0,0,1
Federative Republic of Brazil,2020,solar pv,0.07615,BRA,0.4425602166498201,-0.8945335877959611,1.0131959878180652,0.1825115169210041,1,0,0
Federative Republic of Brazil,2020,wind onshore,0.0681666666666666,BRA,0.4425602166498201,-0.8945335877959611,1.0131959878180652,0.1825115169210041,0,1,0
Republic of Bulgaria,2014,wind onshore,0.1,BGR,-0.2424536782679244,-0.9771604062700546,0.6069777836253303,-0.3903469321397977,0,1,0
Republic of Bulgaria,2019,wind onshore,0.055,BGR,0.2774359833015895,-0.9060865608293467,-0.6786947904892913,-0.3910527129003706,0,1,0
Republic of Bulgaria,2019,solar pv,0.055,BGR,0.2774359833015895,-0.9060865608293467,-0.6786947904892913,-0.3910527129003706,1,0,0
Republic of Bulgaria,2013,wind onshore,0.1,BGR,-0.4118252461997623,-0.9823324564005004,0.8780877773606489,-0.3902298304971068,0,1,0
