Scenario,ISO,Year,Technology,wacc_projection
Below2,KOR,2030,Wind_Onshore,0.010431024252024516
Below2,KOR,2035,Wind_Onshore,0.007670944327553838
Below2,KOR,2040,Wind_Onshore,0.008633872184769116
Below2,KOR,2045,Wind_Onshore,0.009717209277590521
Below2,KOR,2050,Wind_Onshore,0.010580257626931376
Below2,LTU,2025,Wind_Onshore,0.029817465440886086
Below2,LTU,2030,Wind_Onshore,0.02802535814801278
Below2,LTU,2035,Wind_Onshore,0.02828158967430649
Below2,LTU,2040,Wind_Onshore,0.02982849950046089
Below2,LTU,2045,Wind_Onshore,0.030881804700195425
Below2,LTU,2050,Wind_Onshore,0.030763881996974496
Below2,LVA,2025,Wind_Onshore,0.02942688182331724
Below2,LVA,2030,Wind_Onshore,0.030300761896348137
Below2,LVA,2035,Wind_Onshore,0.030405135709734583
Below2,LVA,2040,Wind_Onshore,0.031149030358371122
Below2,LVA,2045,Wind_Onshore,0.032049165320682506
Below2,LVA,2050,Wind_Onshore,0.031932727142369666
Below2,MEX,2025,Wind_Onshore,0.012382000268405014
Below2,MEX,2030,Wind_Onshore,0.007493294715018777
Below2,MEX,2035,Wind_Onshore,0.005860163822436514
Below2,MEX,2040,Wind_Onshore,0.00537688012626759
Below2,MEX,2045,Wind_Onshore,0.005275732410915628
Below2,MEX,2050,Wind_Onshore,0.004105074736534388
Below2,MYS,2025,Wind_Onshore,0.017284486688445115
Below2,MYS,2030,Wind_Onshore,0.015305954242165626
Below2,MYS,2035,Wind_Onshore,0.014553863168720111
Below2,MYS,2040,Wind_Onshore,0.013332255683051544
Below2,MYS,2045,Wind_Onshore,0.012740335969571557
Below2,MYS,2050,Wind_Onshore,0.012499849082562194
Below2,NLD,2025,Wind_Onshore,0.018553306605661894
Below2,NLD,2030,Wind_Onshore,0.02448410271895179
Below2,NLD,2035,Wind_Onshore,0.027468254940256332
Below2,NLD,2040,Wind_Onshore,0.028548865239943093
Below2,NLD,2045,Wind_Onshore,0.028981602418936797
Below2,NLD,2050,Wind_Onshore,0.02922195551006374
Below2,NOR,2025,Wind_Onshore,0.020890741171823126
Below2,NOR,2030,Wind_Onshore,0.017863141012375454
Below2,NOR,2035,Wind_Onshore,0.016032457631806336
Below2,NOR,2040,Wind_Onshore,0.016397419679231695
Below2,NOR,2045,Wind_Onshore,0.01740000111501408
Below2,NOR,2050,Wind_Onshore,0.017900142579283018
Below2,NZL,2025,Wind_Onshore,0.02163783548314794
Below2,NZL,2030,Wind_Onshore,0.01462160383288472
Below2,NZL,2035,Wind_Onshore,0.013704504727995313
Below2,NZL,2040,Wind_Onshore,0.014509174367992204
Below2,NZL,2045,Wind_Onshore,0.01546080616426378
Below2,NZL,2050,Wind_Onshore,0.01525144835108246
Below2,POL,2025,Wind_Onshore,0.022835162115398322
Below2,POL,2030,Wind_Onshore,0.01741203995348805
Below2,POL,2035,Wind_Onshore,0.011982814929355497
Below2,POL,2040,Wind_Onshore,0.011006934020154985
Below2,POL,2045,Wind_Onshore,0.012152545835963787
Below2,POL,2050,Wind_Onshore,0.013140870980081954
Below2,PRT,2025,Wind_Onshore,0.030587727706879703
Below2,PRT,2030,Wind_Onshore,0.033006064044887325
Below2,PRT,2035,Wind_Onshore,0.03488313227989096
Below2,PRT,2040,Wind_Onshore,0.03580257557210002
Below2,PRT,2045,Wind_Onshore,0.03602562693978006
Below2,PRT,2050,Wind_Onshore,0.03624152408375489
Below2,ROU,2025,Wind_Onshore,0.019633340843246083
Below2,ROU,2030,Wind_Onshore,0.015220571962025985
Below2,ROU,2035,Wind_Onshore,0.014878421327500856
Below2,ROU,2040,Wind_Onshore,0.014429865039343482
Below2,ROU,2045,Wind_Onshore,0.014686934311829908
Below2,ROU,2050,Wind_Onshore,0.014851256762932499
Below2,RUS,2025,Wind_Onshore,0.013772893478226607
Below2,RUS,2030,Wind_Onshore,0.009640703994356199
Below2,RUS,2035,Wind_Onshore,0.007748581322297084
Below2,RUS,2040,Wind_Onshore,0.006221593184316327
Below2,RUS,2045,Wind_Onshore,0.005602640920249246
Below2,RUS,2050,Wind_Onshore,0.004567614526920272
Below2,SGP,2025,Wind_Onshore,0.01232604859604123
