Scenario,ISO,Year,Technology,wacc_projection
Below2,GRC,2030,Wind_Onshore,691450.5094009502
Below2,GRC,2035,Wind_Onshore,682597.7303986632
Below2,GRC,2040,Wind_Onshore,675381.6223914182
Below2,GRC,2045,Wind_Onshore,669092.9050307733
Below2,GRC,2050,Wind_Onshore,663247.4032104281
Below2,HKG,2025,Wind_Onshore,508549.89809585194
Below2,HKG,2030,Wind_Onshore,509947.47570165904
Below2,HKG,2035,Wind_Onshore,508801.1763762491
Below2,HKG,2040,Wind_Onshore,506509.2907974719
Below2,HKG,2045,Wind_Onshore,503808.37087694346
Below2,HKG,2050,Wind_Onshore,501987.3989347893
Below2,HRV,2025,Wind_Onshore,269911.69250501494
Below2,HRV,2030,Wind_Onshore,260663.42927397002
Below2,HRV,2035,Wind_Onshore,252254.1764696565
Below2,HRV,2040,Wind_Onshore,244247.3876147615
Below2,HRV,2045,Wind_Onshore,236765.75181173187
Below2,HRV,2050,Wind_Onshore,229911.55388123696
Below2,HUN,2025,Wind_Onshore,650455.6417676678
Below2,HUN,2030,Wind_Onshore,637749.121070518
Below2,HUN,2035,Wind_Onshore,624654.0237648821
Below2,HUN,2040,Wind_Onshore,611184.0197720663
Below2,HUN,2045,Wind_Onshore,598170.9622407852
Below2,HUN,2050,Wind_Onshore,586255.882411982
Below2,IDN,2025,Wind_Onshore,19910485.371893074
Below2,IDN,2030,Wind_Onshore,20667545.39409925
Below2,IDN,2035,Wind_Onshore,21304298.484012496
Below2,IDN,2040,Wind_Onshore,21797115.842231587
Below2,IDN,2045,Wind_Onshore,22146564.072318822
Below2,IDN,2050,Wind_Onshore,22355104.15040445
Below2,IND,2025,Wind_Onshore,99203885.98450929
Below2,IND,2030,Wind_Onshore,103310210.5565716
Below2,IND,2035,Wind_Onshore,106498226.81932826
Below2,IND,2040,Wind_Onshore,108948559.90452544
Below2,IND,2045,Wind_Onshore,110600049.86563027
Below2,IND,2050,Wind_Onshore,111471099.86597551
Below2,IRL,2025,Wind_Onshore,347491.35352653626
Below2,IRL,2030,Wind_Onshore,356867.38216516544
Below2,IRL,2035,Wind_Onshore,367232.32105642546
Below2,IRL,2040,Wind_Onshore,378415.3899627208
Below2,IRL,2045,Wind_Onshore,390088.819379252
Below2,IRL,2050,Wind_Onshore,401734.43494329555
Below2,ITA,2025,Wind_Onshore,3996034.794196747
Below2,ITA,2030,Wind_Onshore,3941528.761206921
Below2,ITA,2035,Wind_Onshore,3898342.5161062423
Below2,ITA,2040,Wind_Onshore,3860809.712041863
Below2,ITA,2045,Wind_Onshore,3825799.3035734813
