ISO,Country,Variable,Year,wacc,is_solar,is_wind_onshore,is_wind_offshore,Urban_Share,Rule_of_Law,Governance_Index
SWE,Sweden,wacc,2015,0.0725,0,1,0,85.79758749999999,0.989000022411346,0.911128012
SWE,Sweden,wacc,2008,0.047,0,1,0,84.746,0.991999983787536,0.909446283
SWE,Sweden,wacc,2010,0.0761,0,1,0,85.009807525,0.991999983787536,0.914278074
CHE,Switzerland,wacc,2008,0.049,0,1,0,73.556,0.984000027179718,0.904448796
ZAF,South Africa,wacc,2015,0.0685,1,0,0,63.683818885,0.887000024318695,0.578864724
NLD,Netherlands,wacc,2013,0.0633,0,1,0,87.25452291,0.972999989986419,0.900126638
NLD,Netherlands,wacc,2015,0.0425,0,1,0,87.94498527,0.970000028610229,0.893293484
UGA,Uganda,wacc,2014,0.066,1,0,0,20.72808195,0.657000005245208,0.403183465
GBR,United Kingdom,wacc,2014,0.065,0,1,0,81.52140216,0.94099998474121,0.85200189
GBR,United Kingdom,wacc,2013,0.065,0,1,0,81.42028827,0.94099998474121,0.842024141
GBR,United Kingdom,wacc,2013,0.041975363,1,0,0,81.42028827,0.94099998474121,0.842024141
GBR,United Kingdom,wacc,2015,0.06,0,1,0,81.722419675,0.94099998474121,0.863363781
GBR,United Kingdom,wacc,2015,0.06,1,0,0,81.722419675,0.94099998474121,0.863363781
GBR,United Kingdom,wacc,2012,0.135,0,0,1,81.32325595,0.959999978542327,0.83680933
JOR,Jordan,wacc,2015,0.057,1,0,0,86.778634405,0.726999998092651,0.518583159
USA,United States,wacc,2010,0.06692,0,1,0,80.73973702500001,0.966000020503997,0.804883703
USA,United States,wacc,2015,0.061,0,1,0,81.28253484,0.953999996185302,0.805178473
USA,United States,wacc,2008,0.075,0,1,0,80.438,0.962000012397766,0.821725182
