Scenario,ISO,Country,Year,inflation,unemployment,gdp_ppp,population
Below2,IDN,Indonesia,2045,1.7007668614387514,6.706679701805115,6282.41950764246,324.7322
Below2,IDN,Indonesia,2050,1.7821347117424011,6.713284730911255,7097.8760368637,327.7903
Below2,IND,India,2025,4.315789341926575,8.081594109535217,10627.79739583,1454.6067
Below2,IND,India,2030,1.713075071573258,7.653518080711365,13269.8558746135,1514.8178
Below2,IND,India,2035,1.3604134321212773,7.737757086753845,15991.4869441417,1561.564
Below2,IND,India,2040,1.78911954164505,7.687808394432068,19382.7801088562,1597.494
Below2,IND,India,2045,2.311080813407898,7.664420962333679,23377.2235207361,1621.711
Below2,IND,India,2050,2.554834604263306,7.529051661491394,27623.2523066267,1634.4847
Below2,IRL,Ireland,2025,2.0212536454200745,6.311455488204956,550.896471667399,5.0954
Below2,IRL,Ireland,2030,2.655284702777863,5.063546657562256,604.058122477759,5.2329
Below2,IRL,Ireland,2035,2.1412554383277893,4.481083035469055,656.603163587006,5.3849
Below2,IRL,Ireland,2040,2.0213754177093506,4.250750184059143,719.52775832238,5.5489
Below2,IRL,Ireland,2045,2.165450751781464,4.144610047340393,807.518418484021,5.7201
Below2,IRL,Ireland,2050,1.983033001422882,4.107741951942444,914.832292042898,5.8909
Below2,ITA,Italy,2025,1.8448923528194427,8.278165340423584,2283.64381319387,58.5938
Below2,ITA,Italy,2030,2.0013009905815125,9.286957502365112,2306.15743716454,57.7946
Below2,ITA,Italy,2035,2.0033379793167114,10.072058916091922,2379.93647951214,57.1614
Below2,ITA,Italy,2040,2.0288913249969487,10.760612249374397,2466.02817839629,56.6111
Below2,ITA,Italy,2045,2.093591570854187,11.44174075126648,2588.79686823713,56.0978
Below2,ITA,Italy,2050,2.106905698776245,12.091528892517092,2733.23293362741,55.5872
Below2,JPN,Japan,2025,2.041016608476639,1.7704919278621674,4803.49036491519,122.9555
Below2,JPN,Japan,2030,1.4127213656902315,2.9617715477943425,4769.00002407872,119.3545
