country,technology,year,wacc,ISO,inflation,gdp,interest_rate,unemployment,population
French Republic,wind offshore,2018,0.0425,FRA,1.11459330798793,38062.4435971517,,9.018,67158348.0
French Republic,wind offshore,2019,0.04125,FRA,1.21052307126166,38705.2072997191,,8.415,67382061.0
French Republic,wind onshore,2015,0.05116666666666667,FRA,1.13444010309355,36702.4323733379,,10.354,66548272.0
French Republic,wind onshore,2016,0.05,FRA,0.517258225639353,36920.5342871045,,10.057,66724104.0
French Republic,wind onshore,2017,0.05,FRA,0.586343167177745,37580.5979319486,,9.409,66918020.0
French Republic,solar pv,2023,0.061511175,FRA,5.30357175264875,39117.4845009362,,7.335,68287487.0
French Republic,wind onshore,2013,0.057,FRA,0.747875807739717,36256.0866889623,,9.913,65997932.0
French Republic,solar pv,2015,0.0425,FRA,1.13444010309355,36702.4323733379,,10.354,66548272.0
French Republic,solar pv,2012,0.133,FRA,1.08204689479506,36161.2918334209,,9.841,65657659.0
French Republic,solar pv,2014,0.138,FRA,0.570795063645548,36444.3949135827,,10.273,66312067.0
French Republic,solar pv,2016,0.037,FRA,0.517258225639353,36920.5342871045,,10.057,66724104.0
French Republic,solar pv,2020,0.0335,FRA,2.9779787161909,35709.204585868,,8.009,67601110.0
French Republic,wind offshore,2020,0.0355,FRA,2.9779787161909,35709.204585868,,8.009,67601110.0
French Republic,wind onshore,2020,0.0299,FRA,2.9779787161909,35709.204585868,,8.009,67601110.0
Federal Republic of Germany,wind onshore,2014,0.038,DEU,1.90082487333854,41588.0763875592,,4.979,80982500.0
Federal Republic of Germany,wind onshore,2019,0.01916666666666667,DEU,2.01597612377067,44207.6320519514,,3.163,83092962.0
Federal Republic of Germany,wind onshore,2018,0.01896666666666667,DEU,1.86533423127291,43874.0130936092,,3.384,82905782.0
Federal Republic of Germany,wind onshore,2017,0.043,DEU,1.46798919402306,43520.1864212996,,3.781,82657002.0
Federal Republic of Germany,wind offshore,2017,0.06,DEU,1.46798919402306,43520.1864212996,,3.781,82657002.0
Federal Republic of Germany,wind offshore,2018,0.06,DEU,1.86533423127291,43874.0130936092,,3.384,82905782.0
Federal Republic of Germany,solar pv,2023,0.03863156400000001,DEU,6.14291653024772,44336.7775157399,,3.068,83280000.0
Federal Republic of Germany,wind onshore,2013,0.039,DEU,1.99503161955657,40875.0262803178,,5.316,80645605.0
Federal Republic of Germany,wind onshore,2015,0.03175,DEU,1.68539778304084,41911.0109851054,,4.612,81686611.0
Federal Republic of Germany,solar pv,2015,0.035625,DEU,1.68539778304084,41911.0109851054,,4.612,81686611.0
Federal Republic of Germany,wind onshore,2010,0.04881,DEU,0.682498555076293,38517.4397860109,,7.043,81776930.0
Federal Republic of Germany,wind onshore,2016,0.03012999999999992,DEU,1.25625862371237,42528.0637107828,,4.104,82348669.0
Federal Republic of Germany,solar pv,2017,0.009000000000000001,DEU,1.46798919402306,43520.1864212996,,3.781,82657002.0
Federal Republic of Germany,solar pv,2010,0.046,DEU,0.682498555076293,38517.4397860109,,7.043,81776930.0
Federal Republic of Germany,solar pv,2012,0.037,DEU,1.43207641485445,40829.034893805,,5.372,80425823.0
Federal Republic of Germany,solar pv,2013,0.042,DEU,1.99503161955657,40875.0262803178,,5.316,80645605.0
Federal Republic of Germany,solar pv,2016,0.029,DEU,1.25625862371237,42528.0637107828,,4.104,82348669.0
