Model,Scenario,ISO,Variable,Year,Value
Remind-Magpie_damages,Below 2C,THA,GDP_damage,2025,1190.26621253069
Remind-Magpie_damages,Below 2C,TJK,Population,2025,10.5312
Remind-Magpie_damages,Below 2C,TJK,GDP_damage,2025,45.3011802214081
Remind-Magpie_damages,Below 2C,TKM,Population,2025,6.7881
Remind-Magpie_damages,Below 2C,TKM,GDP_damage,2025,99.9955911478205
Remind-Magpie_damages,Below 2C,TTO,Population,2025,1.5417
Remind-Magpie_damages,Below 2C,TTO,GDP_damage,2025,34.9480892056086
Remind-Magpie_damages,Below 2C,TUN,Population,2025,12.7516
Remind-Magpie_damages,Below 2C,TUN,GDP_damage,2025,117.257786467461
Remind-Magpie_damages,Below 2C,TUR,Population,2025,87.5273
Remind-Magpie_damages,Below 2C,TUR,GDP_damage,2025,2766.53459024162
Remind-Magpie_damages,Below 2C,TWN,Population,2025,23.2399
Remind-Magpie_damages,Below 2C,TWN,GDP_damage,2025,1220.14252518323
Remind-Magpie_damages,Below 2C,TZA,Population,2025,71.2996
Remind-Magpie_damages,Below 2C,TZA,GDP_damage,2025,183.14061732501
Remind-Magpie_damages,Below 2C,UGA,Population,2025,51.5286
Remind-Magpie_damages,Below 2C,UGA,GDP_damage,2025,118.060462987874
Remind-Magpie_damages,Below 2C,UKR,Population,2025,36.7856
Remind-Magpie_damages,Below 2C,UKR,GDP_damage,2025,404.432868799036
Remind-Magpie_damages,Below 2C,URY,Population,2025,3.4418
Remind-Magpie_damages,Below 2C,URY,GDP_damage,2025,84.9973362933804
Remind-Magpie_damages,Below 2C,USA,Population,2025,338.3907
Remind-Magpie_damages,Below 2C,USA,GDP_damage,2025,20611.1791572612
Remind-Magpie_damages,Below 2C,UZB,Population,2025,36.4526
Remind-Magpie_damages,Below 2C,UZB,GDP_damage,2025,316.859273800897
Remind-Magpie_damages,Below 2C,VEN,Population,2025,28.6595
Remind-Magpie_damages,Below 2C,VEN,GDP_damage,2025,342.132333997782
Remind-Magpie_damages,Below 2C,VNM,Population,2025,103.8072
Remind-Magpie_damages,Below 2C,VNM,GDP_damage,2025,1150.79827930519
Remind-Magpie_damages,Below 2C,YEM,Population,2025,36.0921
Remind-Magpie_damages,Below 2C,YEM,GDP_damage,2025,53.2338829410556
Remind-Magpie_damages,Below 2C,ZAF,Population,2025,61.7364
Remind-Magpie_damages,Below 2C,ZAF,GDP_damage,2025,708.506955950206
Remind-Magpie_damages,Below 2C,ZMB,Population,2025,21.6307
Remind-Magpie_damages,Below 2C,ZMB,GDP_damage,2025,64.8695461155487
Remind-Magpie_damages,Below 2C,ZWE,Population,2025,17.225
Remind-Magpie_damages,Below 2C,ZWE,GDP_damage,2025,33.9127424938098
Remind-Magpie_damages,Current Policies,AGO,Population,2025,38.9301
Remind-Magpie_damages,Current Policies,AGO,GDP_damage,2025,200.238037076916
Remind-Magpie_damages,Current Policies,ALB,Population,2025,2.8071
Remind-Magpie_damages,Current Policies,ALB,GDP_damage,2025,43.9058286173481
Remind-Magpie_damages,Current Policies,ARE,Population,2025,9.8912
Remind-Magpie_damages,Current Policies,ARE,GDP_damage,2025,674.742507493965
Remind-Magpie_damages,Current Policies,ARG,Population,2025,46.4636
Remind-Magpie_damages,Current Policies,ARG,GDP_damage,2025,817.296558394381
Remind-Magpie_damages,Current Policies,ARM,Population,2025,2.7923
Remind-Magpie_damages,Current Policies,ARM,GDP_damage,2025,51.5271868123728
Remind-Magpie_damages,Current Policies,AUS,Population,2025,27.1235
Remind-Magpie_damages,Current Policies,AUS,GDP_damage,2025,1259.12523102274
Remind-Magpie_damages,Current Policies,AUT,Population,2025,8.9933
Remind-Magpie_damages,Current Policies,AUT,GDP_damage,2025,455.86499088535
Remind-Magpie_damages,Current Policies,AZE,Population,2025,10.6074
Remind-Magpie_damages,Current Policies,AZE,GDP_damage,2025,161.430454894572
Remind-Magpie_damages,Current Policies,BEL,Population,2025,11.6265
Remind-Magpie_damages,Current Policies,BEL,GDP_damage,2025,569.357291527696
Remind-Magpie_damages,Current Policies,BEN,Population,2025,14.495
Remind-Magpie_damages,Current Policies,BEN,GDP_damage,2025,48.031031393198
Remind-Magpie_damages,Current Policies,BGD,Population,2025,182.5643
Remind-Magpie_damages,Current Policies,BGD,GDP_damage,2025,1210.70602835727
Remind-Magpie_damages,Current Policies,BGR,Population,2025,6.64
Remind-Magpie_damages,Current Policies,BGR,GDP_damage,2025,175.770449980022
Remind-Magpie_damages,Current Policies,BHR,Population,2025,1.6406
Remind-Magpie_damages,Current Policies,BHR,GDP_damage,2025,71.39893699767
Remind-Magpie_damages,Current Policies,BIH,Population,2025,3.197
Remind-Magpie_damages,Current Policies,BIH,GDP_damage,2025,53.1818639954955
Remind-Magpie_damages,Current Policies,BLR,Population,2025,9.4968
Remind-Magpie_damages,Current Policies,BLR,GDP_damage,2025,183.931020345536
