"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BLR","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",174.2975,175.973390907753,165.241192910417,164.077296009167,173.269311125132,185.544212898181,200.072495750382,216.577271951084,233.853168094729,252.843071228969,272.668279012574,297.254843083031,322.176461032096,347.438690102047,373.254807486086,405.309003347713,439.049075999735
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BOL","Population","million",11.9557,12.7343,13.5643,14.3349,15.0154,15.608,16.0885,16.452,16.7166,16.8785,17.0286,17.0624,17.071,16.9809,16.8635,16.6902,16.4904
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BOL","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",96.1152,99.1999445503335,105.362818666528,116.385910336953,134.336115603879,158.701385091693,190.646636643577,231.488066047456,276.060255963755,328.584058351661,386.794773606752,455.848821642368,533.469444130301,614.633957095481,702.170737110917,798.616825815243,896.798907971334
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BRA","Population","million",214.2372,219.5342,224.2439,227.6042,229.6076,230.2868,229.6508,227.9356,225.2722,221.3289,217.3681,212.0667,206.8264,200.888,195.1648,189.3269,183.7367
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BRA","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",3078.2267,3174.19399494992,3265.43692561081,3549.44982436177,3981.62215489419,4538.1295043096,5223.45855454599,6052.30950437988,6862.80061064938,7765.04089181959,8693.70388360197,9758.80312173431,10877.443477951,11943.7659699474,13020.4910678902,14163.7396113906,15250.0041507775
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BRN","Population","million",0.4566,0.4798,0.5008,0.5195,0.5359,0.5502,0.5619,0.5708,0.5771,0.5795,0.5821,0.5808,0.5807,0.5778,0.5757,0.572,0.5681
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BRN","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",25.5485,24.2529940450202,26.1808836447176,28.3364992214284,30.7962832784286,32.3750582541671,33.6708925759675,35.2794646568535,36.1131864537205,37.4342163207285,38.5696157117764,39.9886469169974,41.1662488382245,42.0709539605876,42.9532777716906,44.3456949514176,45.8218569601605
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BWA","Population","million",2.5596,2.774,2.9777,3.1629,3.327,3.4672,3.5742,3.647,3.693,3.7072,3.7179,3.692,3.667,3.6066,3.549,3.4609,3.3805
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BWA","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",32.7466,39.8082328139016,44.2946185227992,50.6421008090963,59.2727370652778,68.2834673129686,76.4390006787923,86.300537367503,96.5584819828484,109.981651504742,120.114645869118,136.501744125012,149.026671366108,165.763824096341,179.178474083938,195.950717691787,210.225068441436
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CAN","Population","million",37.9923,39.4538,40.6606,41.4221,42.1159,42.7737,43.4562,44.0374,44.5853,45.0539,45.5597,45.8778,46.1974,46.1914,46.1873,45.9033,45.6188
