country,technology,Year,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore,GDP_PPP
Hellenic Republic,wind onshore,2014,0.1275,GRC,-1.92347453577474,17903.5252559978,26.708,10892413.0,0,1,0,339988987434.637
Hellenic Republic,wind onshore,2015,0.1086666666666666,GRC,-0.17475366575222,17980.7298238137,24.981,10820883.0,0,1,0,339212785915.848
Hellenic Republic,wind onshore,2016,0.11,GRC,-0.489960701596374,18049.9289175756,23.514,10775971.0,0,1,0,339104932489.17
Hellenic Republic,solar pv,2014,0.138,GRC,-1.92347453577474,17903.5252559978,26.708,10892413.0,1,0,0,339988987434.637
Hellenic Republic,solar pv,2015,0.161,GRC,-0.17475366575222,17980.7298238137,24.981,10820883.0,1,0,0,339212785915.848
Hellenic Republic,solar pv,2016,0.095,GRC,-0.489960701596374,18049.9289175756,23.514,10775971.0,1,0,0,339104932489.17
Hellenic Republic,wind onshore,2018,0.062,GRC,-0.234800895538129,18769.0390099773,19.179,10732882.0,0,1,0,351204917842.603
Hellenic Republic,wind onshore,2019,0.062,GRC,0.245015797961827,19216.6760037219,17.045,10721582.0,0,1,0,359202488225.96
Hellenic Republic,solar pv,2018,0.06,GRC,-0.234800895538129,18769.0390099773,19.179,10732882.0,1,0,0,351204917842.603
Hellenic Republic,solar pv,2019,0.06,GRC,0.245015797961827,19216.6760037219,17.045,10721582.0,1,0,0,359202488225.96
Hellenic Republic,solar pv,2023,0.146238,GRC,5.87456266805546,21139.1916750925,11.066,10405588.0,1,0,0,383492787169.02
Hellenic Republic,wind onshore,2013,0.12,GRC,-1.96032167877375,17644.8766792834,27.686,10965211.0,0,1,0,337316680235.27
Hellenic Republic,solar pv,2020,0.04785,GRC,-0.3639597319481,17486.9513800415,15.899,10698599.0,1,0,0,326169395959.734
Hellenic Republic,wind onshore,2020,0.0384,GRC,-0.3639597319481,17486.9513800415,15.899,10698599.0,0,1,0,326169395959.734
Republic of Guatemala,solar pv,2014,0.085,GTM,2.86031160659735,3809.61576365876,2.717,15681725.0,1,0,0,165555646880.928
Republic of Hungary,wind onshore,2014,0.113,HUN,3.6927260947232,12233.299367172,7.725,9866468.0,0,1,0,298021658712.728
Republic of Hungary,solar pv,2018,0.0565645833333333,HUN,4.847425391946,14377.4241602939,3.708,9775564.0,1,0,0,347028722064.464
Republic of Hungary,solar pv,2019,0.0549300595238095,HUN,4.78502518079389,15083.5991718742,3.419,9771141.0,1,0,0,363908982471.378
Republic of Hungary,wind onshore,2019,0.0463175,HUN,4.78502518079389,15083.5991718742,3.419,9771141.0,0,1,0,363908982471.378
Republic of Hungary,solar pv,2023,0.139358,HUN,14.7490051351556,16282.830349083,4.107,9592186.0,1,0,0,385647039402.331
Republic of Hungary,wind onshore,2013,0.113,HUN,2.82053189026186,11705.0092523564,10.177,9893082.0,0,1,0,285920886899.555
